,Model_time,temp,Acc,delta_temp,CoD
526,1525.0,232.46666,0.19,0.41584778,111.21453
527,1526.0,232.48334,0.19,0.43237305,111.21347
528,1527.0,232.5,0.19,0.44885254,111.21237
529,1528.0,232.51666,0.19,0.4653015,111.21122
530,1529.0,232.53334,0.19,0.4817505,111.21002
531,1530.0,232.55,0.19,0.4981537,111.20878
532,1531.0,232.56667,0.19,0.51452637,111.20748
533,1532.0,232.58333,0.19,0.53086853,111.20615
534,1533.0,232.6,0.19,0.5472107,111.20476
535,1534.0,232.61667,0.19,0.5634918,111.20332
536,1535.0,232.63333,0.19,0.5797577,111.20184
537,1536.0,232.65,0.19,0.5959778,111.20032
538,1537.0,232.66667,0.19,0.6121826,111.198746
539,1538.0,232.68333,0.19,0.6283417,111.19712
540,1539.0,232.7,0.19,0.64445496,111.19545
541,1540.0,232.71666,0.19,0.660553,111.19373
542,1541.0,232.73334,0.19,0.6766205,111.19196
543,1542.0,232.75,0.19,0.69262695,111.190155
544,1543.0,232.76666,0.19,0.7086029,111.18829
545,1544.0,232.78334,0.19,0.7245636,111.186386
546,1545.0,232.8,0.19,0.74046326,111.184425
547,1546.0,232.81667,0.19,0.7562256,110.97173
548,1547.0,232.83333,0.19,0.77204895,110.96968
549,1548.0,232.85,0.19,0.7878418,110.96758
550,1549.0,232.86667,0.19,0.8035736,110.96543
551,1550.0,232.88333,0.19,0.8192749,110.963234
552,1551.0,232.9,0.19,0.8349304,110.96099
553,1552.0,232.91667,0.19,0.8505707,110.958694
554,1553.0,232.93333,0.19,0.86613464,110.95635
555,1554.0,232.95,0.19,0.8816681,110.953964
556,1555.0,232.96666,0.19,0.897171,110.95153
557,1556.0,232.98334,0.19,0.9126282,110.94904
558,1557.0,233.0,0.19,0.92803955,110.94651
559,1558.0,233.01666,0.19,0.94340515,110.943924
560,1559.0,233.03334,0.19,0.95874023,110.94129
561,1560.0,233.05,0.19,0.97402954,110.938614
562,1561.0,233.06667,0.19,0.9892731,110.93589
563,1562.0,233.08333,0.19,1.0044708,110.93311
564,1563.0,233.1,0.19,1.0196381,110.93029
565,1564.0,233.11667,0.19,1.0347595,110.927414
566,1565.0,233.13333,0.19,1.0498352,110.9245
567,1566.0,233.15,0.19,1.0648651,110.921524
568,1567.0,233.16667,0.19,1.0798645,110.91851
569,1568.0,233.18333,0.19,1.0948181,110.91544
570,1569.0,233.2,0.19,1.109726,110.91234
571,1570.0,233.21666,0.19,1.124588,110.90917
572,1571.0,233.23334,0.19,1.1394348,110.90597
573,1572.0,233.25,0.19,1.1542053,110.90271
574,1573.0,233.26666,0.19,1.1689453,110.89941
575,1574.0,233.28334,0.19,1.18367,110.89606
