NGRIP,242.05,0.19,78,71.3,71.6,51.4,70.9,68.3,49.8,55.4,64.6,62.6,69.3,56.8,75.7,78.3,0.0
Fuji,215.85,0.028,104,113.2,113.2,79.7,127.8,111.3,126.7,84.8,0.0,105.7,111.0,103.6,127.3,125.7,0.0
Siple,247.75,0.13,57,48.9,49.1,54.4,47.6,61.2,40.0,43.0,0.0,46.6,53.0,38.2,55.2,56.3,0.0
DE08,254.2,1.2,85,89.6,95.0,100.8,67.9,57.8,29.0,34.1,0.0,13.6,74.0,74.5,98.1,89.9,0.0
