,Freitag,Schwander,Severinghaus,Witrant,Battle,Adolph
218,0.5743503570556641,0.5743503570556641,0.5743503570556641,0.5743503570556641,0.5743503570556641,0.5743503570556641
219,0.5571842193603516,0.5571842193603516,0.5571842193603516,0.5571842193603516,0.5571842193603516,0.5571842193603516
220,0.5410909652709961,0.5410909652709961,0.5410909652709961,0.5410909652709961,0.5410909652709961,0.5410909652709961
221,0.5255937576293945,0.5255937576293945,0.5255937576293945,0.5255937576293945,0.5255937576293945,0.5255937576293945
222,0.5108118057250977,0.5108118057250977,0.5108118057250977,0.5108118057250977,0.5108118057250977,0.5108118057250977
223,0.49674510955810547,0.49674510955810547,0.49674510955810547,0.49674510955810547,0.49674510955810547,0.49674510955810547
224,0.4831552505493164,0.4831552505493164,0.4831552505493164,0.4831552505493164,0.4831552505493164,0.4831552505493164
225,0.4703998565673828,0.4703998565673828,0.4703998565673828,0.4703998565673828,0.4703998565673828,0.4703998565673828
226,0.45800209045410156,0.45800209045410156,0.45800209045410156,0.45800209045410156,0.45800209045410156,0.45800209045410156
227,0.4464387893676758,0.4464387893676758,0.4464387893676758,0.4464387893676758,0.4464387893676758,0.4464387893676758
229,0.43523311614990234,0.43523311614990234,0.43523311614990234,0.43523311614990234,0.43523311614990234,0.43523311614990234
230,0.42438507080078125,0.42438507080078125,0.42438507080078125,0.42438507080078125,0.42438507080078125,0.42438507080078125
231,0.41472911834716797,0.41472911834716797,0.41472911834716797,0.41472911834716797,0.41472911834716797,0.41472911834716797
232,0.40471553802490234,0.40471553802490234,0.40471553802490234,0.40471553802490234,0.40471553802490234,0.40471553802490234
233,0.3949403762817383,0.3949403762817383,0.3949403762817383,0.3949403762817383,0.3949403762817383,0.3949403762817383
234,0.38635730743408203,0.38635730743408203,0.38635730743408203,0.38635730743408203,0.38635730743408203,0.38635730743408203
235,0.3771781921386719,0.3771781921386719,0.3771781921386719,0.3771781921386719,0.3771781921386719,0.3771781921386719
236,0.3694295883178711,0.3694295883178711,0.3694295883178711,0.3694295883178711,0.3694295883178711,0.3694295883178711
237,0.3610849380493164,0.3610849380493164,0.3610849380493164,0.3610849380493164,0.3610849380493164,0.3610849380493164
238,0.3540515899658203,0.3540515899658203,0.3540515899658203,0.3540515899658203,0.3540515899658203,0.3540515899658203
240,0.34689903259277344,0.34689903259277344,0.34689903259277344,0.34689903259277344,0.34689903259277344,0.34689903259277344
241,0.3389120101928711,0.3389120101928711,0.3389120101928711,0.3389120101928711,0.3389120101928711,0.3389120101928711
242,0.3324747085571289,0.3324747085571289,0.3324747085571289,0.3324747085571289,0.3324747085571289,0.3324747085571289
243,0.32591819763183594,0.32591819763183594,0.32591819763183594,0.32591819763183594,0.32591819763183594,0.32591819763183594
244,0.32007694244384766,0.32007694244384766,0.32007694244384766,0.32007694244384766,0.32007694244384766,0.32007694244384766
