,HLS,HLD,BAR,GOU
215,0.6262063980102539,0.6263256072998047,0.6237030029296875,0.5943775177001953
220,0.5441904067993164,0.5449056625366211,0.5445480346679688,0.5152225494384766
225,0.4793405532836914,0.4793405532836914,0.4794597625732422,0.4494190216064453
230,0.4259347915649414,0.42641162872314453,0.4258155822753906,0.3955364227294922
235,0.38242340087890625,0.3832578659057617,0.3807544708251953,0.3503561019897461
240,0.3464221954345703,0.3476142883300781,0.3437995910644531,0.3120899200439453
245,0.31769275665283203,0.3190040588378906,0.31125545501708984,0.2789497375488281
