,HLD,HLS,BAR,GOU
218,0.48935413360595703,0.48923492431640625,0.5072355270385742,0.48732757568359375
219,0.47600269317626953,0.47576427459716797,0.4932880401611328,0.4730224609375
220,0.46241283416748047,0.46253204345703125,0.4792213439941406,0.4582405090332031
221,0.44977664947509766,0.45013427734375,0.46622753143310547,0.44476985931396484
222,0.43773651123046875,0.43833255767822266,0.45371055603027344,0.4322528839111328
223,0.42641162872314453,0.4266500473022461,0.4417896270751953,0.4197359085083008
224,0.4156827926635742,0.415802001953125,0.4304647445678711,0.4076957702636719
225,0.4050731658935547,0.4056692123413086,0.41937828063964844,0.3962516784667969
226,0.3954172134399414,0.3955364227294922,0.40853023529052734,0.38504600524902344
227,0.38504600524902344,0.3859996795654297,0.39839744567871094,0.37419795989990234
229,0.37682056427001953,0.3769397735595703,0.3883838653564453,0.3643035888671875
230,0.3675222396850586,0.36847591400146484,0.3788471221923828,0.3541707992553711
231,0.35941600799560547,0.3603696823120117,0.3701448440551758,0.34499168395996094
232,0.3514289855957031,0.3523826599121094,0.3610849380493164,0.3362894058227539
233,0.34439563751220703,0.3445148468017578,0.3522634506225586,0.32699108123779297
234,0.3361701965332031,0.33736228942871094,0.34439563751220703,0.31876564025878906
235,0.3274679183959961,0.33020973205566406,0.3364086151123047,0.3103017807006836
236,0.32210350036621094,0.32329559326171875,0.3286600112915039,0.30231475830078125
237,0.3147125244140625,0.31638145446777344,0.32138824462890625,0.293731689453125
238,0.3094673156738281,0.30982494354248047,0.3148317337036133,0.2865791320800781
240,0.3019571304321289,0.30422210693359375,0.3077983856201172,0.2778768539428711
241,0.2956390380859375,0.29838085174560547,0.30040740966796875,0.2714395523071289
242,0.2923011779785156,0.2925395965576172,0.2944469451904297,0.2638101577758789
243,0.28383731842041016,0.2868175506591797,0.28836727142333984,0.2551078796386719
244,0.2799034118652344,0.28121471405029297,0.28228759765625,0.0
