,HLD,HLS,BAR,GOU
218,0.48935413360595703,0.48923492431640625,0.507354736328125,0.4870891571044922
219,0.47576427459716797,0.4756450653076172,0.4932880401611328,0.4725456237792969
220,0.46253204345703125,0.46253204345703125,0.47957897186279297,0.4582405090332031
221,0.45013427734375,0.45013427734375,0.4665851593017578,0.4448890686035156
222,0.43833255767822266,0.43833255767822266,0.45418739318847656,0.43189525604248047
223,0.4267692565917969,0.42700767517089844,0.44226646423339844,0.4194974899291992
224,0.415802001953125,0.4162788391113281,0.43082237243652344,0.4074573516845703
225,0.4055500030517578,0.40590763092041016,0.4197359085083008,0.3960132598876953
226,0.3955364227294922,0.3960132598876953,0.40912628173828125,0.38504600524902344
227,0.38611888885498047,0.3865957260131836,0.39899349212646484,0.3745555877685547
229,0.3769397735595703,0.3775358200073242,0.38909912109375,0.3644227981567383
230,0.3682374954223633,0.3687143325805664,0.3796815872192383,0.35452842712402344
231,0.36013126373291016,0.3604888916015625,0.3706216812133789,0.34487247467041016
232,0.35178661346435547,0.3523826599121094,0.3619194030761719,0.3361701965332031
233,0.3440380096435547,0.3447532653808594,0.35321712493896484,0.3268718719482422
234,0.3370046615600586,0.3371238708496094,0.3453493118286133,0.31876564025878906
235,0.3292560577392578,0.3300905227661133,0.3374814987182617,0.3104209899902344
236,0.32269954681396484,0.32341480255126953,0.3298521041870117,0.3025531768798828
237,0.31578540802001953,0.3167390823364258,0.32258033752441406,0.29468536376953125
238,0.31006336212158203,0.3107786178588867,0.31554698944091797,0.28717517852783203
240,0.30410289764404297,0.3045797348022461,0.3085136413574219,0.27942657470703125
241,0.2976655960083008,0.2988576889038086,0.3019571304321289,0.2727508544921875
242,0.2917051315307617,0.2930164337158203,0.29528141021728516,0.2652406692504883
243,0.2868175506591797,0.2880096435546875,0.2893209457397461,0.25844573974609375
244,0.2809762954711914,0.28264522552490234,0.2835988998413086,0.25177001953125
